Eksāmens;Novads;Iestāde; Iestādes vidējais ;Kārtotāju skaits;0-9%;10-19%;20-29%;30-39%;40-49%;50-59%;60-69%;70-79%;80-89%;90-100%
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Aizkraukles novada vidusskola; 58,1   ;74;1;1;5;12;6;11;14;7;11;6
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Andreja Upīša Skrīveru vidusskola; 66,2   ;48;;;3;3;4;6;8;8;12;4
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Bebru pamatskola; 29,1   ;13;1;8;;;;2;;;2;
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Daudzeses pamatskola; 29,5   ;2;;;1;1;;;;;;
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Ilmāra Gaiša Kokneses vidusskola; 56,0   ;28;;1;4;4;3;3;3;4;1;5
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Jaunjelgavas vidusskola; 47,9   ;17;;4;3;1;1;1;1;3;1;2
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Mazzalves pamatskola; 41,5   ;8;;;4;;;3;;1;;
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Neretas Jāņa Jaunsudrabiņa vidusskola; 47,5   ;13;;2;1;2;3;1;2;;1;1
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Pļaviņu vidusskola; 49,4   ;35;2;2;5;4;5;3;5;4;5;
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Seces pamatskola; 78,3   ;6;;;;;1;;;2;1;2
Eksāmens matemātikā 9.klasei;Alūksnes novads;Alekseja Grāvīša Liepnas pamatskola; 18,1   ;14;4;6;1;1;1;1;;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Alūksnes novada vidusskola; 22,5   ;26;4;9;5;5;1;2;;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Bejas pamatskola; 36,7   ;7;1;;1;2;1;2;;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Ernsta Glika Alūksnes Valsts ģimnāzija; 59,2   ;51;;;2;4;12;10;5;8;8;2
Eksāmens matemātikā 9.klasei;Alūksnes novads;Jaunannas Mūzikas un mākslas pamatskola; 71,4   ;7;;;;1;;;1;2;2;1
Eksāmens matemātikā 9.klasei;Alūksnes novads;Malienas pamatskola; 20,4   ;11;;7;2;;2;;;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Strautiņu pamatskola; 33,3   ;12;1;3;2;1;2;2;1;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Ziemeru pamatskola; 54,6   ;9;;;;2;1;2;2;2;;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Bebrenes vispārizglītojošā un profesionālā vidusskola; 51,1   ;9;;;1;3;1;1;1;;2;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Biķernieku pamatskola; 48,5   ;6;;;;3;1;;;2;;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Ilūkstes Raiņa vidusskola; 57,0   ;34;1;2;2;7;1;3;5;4;6;3
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Kalupes pamatskola; 44,4   ;5;;;;2;1;2;;;;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Laucesas pamatskola; 35,8   ;16;;3;6;2;2;;1;1;1;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Lāču pamatskola; 48,8   ;9;;2;1;1;1;;1;1;1;1
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Naujenes pamatskola; 51,9   ;9;;;;2;1;4;2;;;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Randenes pamatskola; 61,1   ;7;;;;1;2;;2;;1;1
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Salienas vidusskola; 47,9   ;13;;;1;4;3;3;1;;;1
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Sventes vidusskola; 62,5   ;16;;;;1;5;2;1;2;4;1
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Špoģu vidusskola; 45,8   ;26;;5;4;3;3;3;;5;3;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Zemgales vidusskola; 66,2   ;5;;;;;1;2;;1;;1
Eksāmens matemātikā 9.klasei;Ādažu novads;Ādažu vidusskola; 60,9   ;169;3;9;10;13;21;18;24;24;27;20
Eksāmens matemātikā 9.klasei;Ādažu novads;Carnikavas pamatskola; 56,6   ;44;1;3;7;4;2;5;2;8;7;5
Eksāmens matemātikā 9.klasei;Ādažu novads;Privātā vidusskola Ādažu Brīvā Valdorfa skola; 56,2   ;20;;;2;3;4;2;4;1;3;1
Eksāmens matemātikā 9.klasei;Balvu novads;Baltinavas vidusskola; 28,1   ;9;;4;3;1;;;1;;;
Eksāmens matemātikā 9.klasei;Balvu novads;Balvu profesionālā un vispārizglītojošā vidusskola; 22,3   ;28;2;12;7;4;2;1;;;;
Eksāmens matemātikā 9.klasei;Balvu novads;Balvu Valsts ģimnāzija; 53,6   ;56;1;3;8;6;6;7;9;7;7;2
Eksāmens matemātikā 9.klasei;Balvu novads;Bērzpils pamatskola; 39,0   ;5;;1;1;1;1;;1;;;
Eksāmens matemātikā 9.klasei;Balvu novads;Eglaines pamatskola; 57,0   ;6;;;;;2;2;;1;1;
Eksāmens matemātikā 9.klasei;Balvu novads;Rekavas vidusskola; 62,0   ;9;;;1;1;2;;;2;2;1
Eksāmens matemātikā 9.klasei;Balvu novads;Rugāju vidusskola; 37,5   ;22;;1;7;8;2;1;2;;1;
Eksāmens matemātikā 9.klasei;Balvu novads;Stacijas pamatskola; 45,8   ;6;;1;1;;2;;1;;1;
Eksāmens matemātikā 9.klasei;Balvu novads;Tilžas pamatskola; 37,9   ;7;;2;1;;1;2;1;;;
